SYMBOL,COUNT
MUNJALAU,2
MUNJALSHOW,1
MURUDCERA,1
MUTHOOTCAP,1
MUTHOOTFIN,1
MVL,2
N100,1
NACLIND,1
NAGAFERT,1
NAGAROIL,1
NAGREEKCAP,1
NAGREEKEXP,1
NAHARCAP,1
NAHARINDUS,1
NAHARPOLY,1
NAHARSPING,1
NATCOPHARM,1
NATHBIOGEN,1
NATIONALUM,1
NAUKRI,1
NAVINFLUOR,1
NAVKARCORP,1
NAVNETEDUL,1
NBCC,1
NBIFIN,1
NBVENTURES,1
NCC,1
NCLIND,1
NDGL,1
NDL,2
NDTV,1
NECCLTD,1
NECLIFE,1
NELCAST,1
NELCO,1
NEOGEN,1
NESCO,1
NESTLEIND,1
NETF,2
NETWORK18,1
NEULANDLAB,1
NEWGEN,1
NEXTMEDIA,1
NFL,2
NH,2
NHPC,1
NIACL,1
NIBL,1
NIFTYBEES,1
NIITLTD,1
NIITTECH,1
NILAINFRA,1
NILASPACES,1
NILKAMAL,1
NIPPOBATRY,1
NITCO,1
NITESHEST,1
NITINFIRE,1
NITINSPIN,1
NLCINDIA,1
NMDC,1
NOCIL,1
NOIDATOLL,1
NRAIL,2
NRBBEARING,1
NSIL,2
NTPC,1
NUCLEUS,1
OAL,2
OBEROIRLTY,1
OCCL,1
OFSS,1
OIL,2
OILCOUNTUB,1
OLECTRA,1
OMAXAUTO,1
OMAXE,1
OMKARCHEM,1
OMMETALS,1
ONEPOINT,1
ONGC,1
ONMOBILE,1
ONWARDTEC,1
OPTIEMUS,1
OPTOCIRCUI,1
ORBTEXP,1
ORICONENT,1
ORIENTABRA,1
ORIENTALTL,1
ORIENTBANK,1
ORIENTBELL,1
ORIENTCEM,1
ORIENTELEC,1
ORIENTHOT,1
ORIENTLTD,1
ORIENTPPR,1
ORIENTREF,1
ORISSAMINE,1
ORTEL,1
OSWALAGRO,1
PAGEIND,1
PAISALO,1
PALASHSECU,1
PALREDTEC,2
PANACEABIO,1
PANAMAPET,1
PAPERPROD,1
PARACABLES,1
PARAGMILK,1
PATELENG,1
PATINTLOG,1
PATSPINLTD,1
PCJEWELLER,1
PDMJEPAPER,1
PDSMFL,1
PEL,2
PENIND,2
PENINLAND,1
PERSISTENT,1
PETRONET,2
PFC,1
PFIZER,1
PFOCUS,1
PFS,1
PGEL,1
PGHH,1
PGHL,1
PGIL,1
PHILIPCARB,1
PHOENIXLTD,1
PIDILITIND,1
PIIND,1
PILANIINVS,1
PILITA,1
PIONDIST,1
PIONEEREMB,1
PITTIENG,1
PLASTIBLEN,1
PNB,2
PNBGILTS,1
PNBHOUSING,1
PNC,2
PNCINFRA,1
PODDARHOUS,1
PODDARMENT,1
POKARNA,1
POLYCAB,1
POLYMED,1
POLYPLEX,1
PONNIERODE,1
POWERGRID,1
POWERMECH,1
PPAP,2
PRABHAT,1
PRAENG,1
PRAJIND,1
PRAKASH,2
PRAXIS,1
PRECAM,1
PRECOT,2
PRECWIRE,1
PREMEXPLN,1
PREMIERPOL,1
PRESSMN,1
PRESTIGE,2
PRICOLLTD,1
PRIMESECU,1
PRSMJOHNSN,1
PSB,2
PSL,2
PSPPROJECT,1
PSUBNKBEES,1
PTC,2
PTL,2
PUNJABCHEM,1
PUNJLLOYD,1
PURVA,1
PVR,2
QGOLDHALF,1
QNIFTY,1
QUESS,1
QUICKHEAL,1
RADAAN,1
RADICO,2
RADIOCITY,1
RAIN,2
RAJESHEXPO,1
RALLIS,1
RAMANEWS,2
RAMASTEEL,1
RAMCOCEM,1
RAMCOIND,1
RAMCOSYS,1
RAMKY,1
RANASUG,1
RANEENGINE,1
RANEHOLDIN,1
RATNAMANI,1
RAYMOND,2
RBL,2
RBLBANK,1
RCF,1
RCOM,2
RECLTD,1
REDINGTON,1
RELAXO,2
RELCAPITAL,1
RELCNX100,1
RELCONS,1
RELDIVOPP,1
RELIANCE,2
RELIGARE,2
RELINFRA,1
RELNV20,1
REMSONSIND,1
RENUKA,1
REPCOHOME,1
REPRO,2
RESPONIND,1
RETFMID150,1
REVATHI,2
RGL,2
RHFL,1
RICOAUTO,1
RIIL,1
RITES,1
RKDL,1
RKFORGE,1
RMCL,2
RML,2
RNAM,2
RNAVAL,1
ROHLTD,1
ROLTA,2
ROSSELLIND,1
RPGLIFE,1
RPOWER,1
RPPINFRA,1
RRSLGETF,1
RSSOFTWARE,1
RSWM,1
RSYSTEMS,1
RTNINFRA,1
RTNPOWER,1
RUBYMILLS,1
RUCHIRA,1
RUCHISOYA,1
RUPA,2
RUSHIL,1
RVNL,1
SABTN,1
SADBHAV,2
SADBHIN,1
SAGCEM,1
SAIL,1
SAKHTISUG,1
SAKSOFT,1
SAKUMA,1
SALASAR,1
SALONA,2
SALSTEEL,1
